chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
D18	0.0	mmu-mir-669l-3p	6128	no	D18H	4.81259676278	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669l-3p	6128	no	D2H	5.18382938729	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669l-3p	6128	no	D21Ø	5.33445158726	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669l-3p	6128	no	D21L	5.91412076562	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669l-3p	6128	no	D5H	4.38968957364	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669l-3p	6128	no	D8H	4.73044137385	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669l-3p	6128	no	1⁰iPSC	5.56629802535	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669l-3p	6128	no	2⁰iPSC	5.01717260334	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669l-3p	6128	no	ESC	5.20961899317	ESC	ESC	ESC	
D0	0.0	mmu-mir-467b-3p	6128	no	2°MEF	0.804696371623	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-467b-3p	6128	no	D11H	2.47552886614	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-467b-3p	6128	no	D16H	3.01073241023	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-467b-3p	6128	no	D16L	3.5953718833	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-467b-3p	6128	no	D18H	2.63202451714	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-467b-3p	6128	no	D2H	4.24667026086	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-467b-3p	6128	no	D21Ø	2.97015382323	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-467b-3p	6128	no	D21L	3.99837695096	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-467b-3p	6128	no	D5H	3.50917985358	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-467b-3p	6128	no	D8H	2.9457470492	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-467b-3p	6128	no	1⁰iPSC	3.91710319752	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-467b-3p	6128	no	2⁰iPSC	2.76083285008	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-467b-3p	6128	no	ESC	1.47960615962	ESC	ESC	ESC	
D0	0.0	mmu-mir-669c-5p	6128	no	2°MEF	5.33719145245	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669c-5p	6128	no	D11H	4.7199475938	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669c-5p	6128	no	D16H	9.73248263463	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669c-5p	6128	no	D16L	7.42743760121	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669c-5p	6128	no	D18H	10.1225946476	D18H	High Dox	Day 18	
